title,artist,peakPos,rank
4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima,42,42
All Girls Are The Same,Juice WRLD,41,41
All Mine,Kanye West,11,31
Alone,Halsey Featuring Big Sean & Stefflon Don,70,74
Babe,Sugarland Featuring Taylor Swift,72,95
Back To You,Selena Gomez,22,22
Ball For Me,Post Malone Featuring Nicki Minaj,16,59
Be Careful,Cardi B,11,23
Beautiful Crazy,Luke Combs,58,93
Better Now,Post Malone,7,20
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",66,97
Boo'd Up,Ella Mai,6,7
Call Out My Name,The Weeknd,4,54
Chun-Li,Nicki Minaj,10,43
Cudi Montage,KIDS SEE GHOSTS,69,69
Dame Tu Cosita,El Chombo Featuring Cutty Ranks,36,80
Delicate,Taylor Swift,25,25
Done For Me,Charlie Puth Featuring Kehlani,53,55
Drip,Cardi B Featuring Migos,21,96
Dura,Daddy Yankee,43,64
El Farsante,Ozuna & Romeo Santos,49,91
Esskeetit,Lil Pump,24,68
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,66,66
Fake Love,BTS,10,71
Feel The Love,KIDS SEE GHOSTS,47,47
Fire,KIDS SEE GHOSTS,67,67
Freaky Friday,Lil Dicky Featuring Chris Brown,8,37
"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,62,62
Friends,Marshmello & Anne-Marie,11,13
Get Along,Kenny Chesney,48,48
Ghost Town,Kanye West Featuring PARTYNEXTDOOR,16,60
Girls Like You,Maroon 5 Featuring Cardi B,4,5
God's Plan,Drake,1,4
Havana,Camila Cabello Featuring Young Thug,1,27
Heaven,Kane Brown,15,26
I Know You,Lil Skies Featuring Yung Pinch,90,90
I Like It,"Cardi B, Bad Bunny & J Balvin",3,3
I Like Me Better,Lauv,46,46
I Lived It,Blake Shelton,64,76
I Was Jack (You Were Diane),Jake Owen,86,86
I'm Upset,Drake,19,28
IDGAF,Dua Lipa,49,51
In My Blood,Shawn Mendes,11,16
Japan,Famous Dex,28,72
KIDS SEE GHOSTS,KIDS SEE GHOSTS,73,73
KOD,J. Cole,10,65
Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,74,89
Look Alive,BlocBoy JB Featuring Drake,5,18
Lose It,Kane Brown,84,84
Love Lies,Khalid & Normani,34,34
Lovely,Billie Eilish & Khalid,78,78
Lucid Dreams,Juice WRLD,6,6
Me Niego,Reik Featuring Ozuna & Wisin,77,83
Meant To Be,Bebe Rexha & Florida Georgia Line,2,10
Mercy,Brett Young,63,63
Mine,Bazzi,11,15
Never Be The Same,Camila Cabello,6,19
New Rules,Dua Lipa,6,35
Nice For What,Drake,1,1
No Tears Left To Cry,Ariana Grande,3,9
One Kiss,Calvin Harris & Dua Lipa,30,30
One Number Away,Luke Combs,34,45
OTW,"Khalid, Ty Dolla $ign & 6LACK",57,81
Overdose,YoungBoy Never Broke Again,42,77
Perfect,Ed Sheeran,1,17
Plug Walk,Rich The Kid,13,33
Powerglide,Rae Sremmurd & Juicy J,28,75
