Position,Track Name,Artist,Streams
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1371493
2,Fake Love,Drake,1180074
3,Starboy,The Weeknd,1064351
4,Closer,The Chainsmokers,1010492
5,Black Beatles,Rae Sremmurd,874289
6,Broccoli (feat. Lil Yachty),DRAM,763259
7,One Dance,Drake,753150
8,Caroline,Aminé,714839
9,Let Me Love You,DJ Snake,690483
10,Bounce Back,Big Sean,682688
11,I Feel It Coming,The Weeknd,651807
12,24K Magic,Bruno Mars,574974
13,Bad Things (with Camila Cabello),Machine Gun Kelly,567789
14,X (feat. Future),21 Savage,544620
15,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,507450
16,Don't Wanna Know,Maroon 5,486364
17,Chill Bill,Rob $tone,485127
18,Deja Vu,J. Cole,478503
19,OOOUUU,Young M.A,456308
20,Party Monster,The Weeknd,456291
21,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,449345
22,No Heart,21 Savage,447063
23,Starving,Hailee Steinfeld,446785
24,Don't Let Me Down,The Chainsmokers,446177
25,Side To Side,Ariana Grande,440123
26,Treat You Better,Shawn Mendes,438954
27,In the Name of Love,Martin Garrix,435945
28,Sneakin’,Drake,419434
29,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,417329
30,Work from Home,Fifth Harmony,405483
31,Heathens,Twenty One Pilots,401620
32,You Was Right,Lil Uzi Vert,401546
33,Into You,Ariana Grande,370887
34,Too Good,Drake,368536
35,Controlla,Drake,365140
36,This Is What You Came For,Calvin Harris,362959
37,Say You Won't Let Go,James Arthur,361392
38,All We Know,The Chainsmokers,351014
39,pick up the phone,Young Thug,350286
40,iSpy (feat. Lil Yachty),KYLE,349836
41,Cheap Thrills,Sia,345244
42,Needed Me,Rihanna,342524
43,Cold Water (feat. Justin Bieber & MØ),Major Lazer,342437
44,Panda,Desiigner,332310
45,Scars To Your Beautiful,Alessia Cara,331379
46,Mercy,Shawn Mendes,323626
47,Neighbors,J. Cole,317884
48,Work,Rihanna,316050
49,Call On Me - Ryan Riback Extended Remix,Starley,313819
50,Swang,Rae Sremmurd,308264
51,Six Feet Under,The Weeknd,307482
52,"How Far I'll Go - From ""Moana""",Alessia Cara,305401
53,Send My Love (To Your New Lover),Adele,302383
54,Love Me Now,John Legend,301472
55,Love Yourself,Justin Bieber,300179
56,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,299010
57,Jumpman,Drake,297396
58,Sidewalks,The Weeknd,295550
59,I Want You Back,The Jackson 5,284664
60,Cake By The Ocean,DNCE,282236
61,Low Life,Future,278813
62,goosebumps,Travis Scott,276401
63,Redbone,Childish Gambino,272870
64,Just Hold On,Steve Aoki,272841
65,Billie Jean,Michael Jackson,269981
66,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,265739
67,Immortal,J. Cole,264865
68,Ride,Twenty One Pilots,264707
69,Ain't No Mountain High Enough,Marvin Gaye,260834
70,Money Longer,Lil Uzi Vert,259985
71,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,258637
72,No Role Modelz,J. Cole,253285
73,Used to This,Future,249166
74,Chantaje,Shakira,244295
75,Pumped Up Kicks,Foster The People,242742
76,Some Kind Of Drug,G-Eazy,236873
77,Too Much Sauce,DJ Esco,235274
78,Now and Later,Sage The Gemini,233690
79,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,233185
80,"Happy - From ""Despicable Me 2""",Pharrell Williams,233169
81,Reminder,The Weeknd,232197
82,All Time Low,Jon Bellion,231839
83,One Night,Lil Yachty,227622
84,Paper Planes,M.I.A.,227569
85,Stressed Out,Twenty One Pilots,227187
86,Titanium (feat. Sia),David Guetta,226512
87,Bohemian Rhapsody - Remastered 2011,Queen,223789
88,White Iverson,Post Malone,221512
89,All Night,The Vamps,220922
90,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,219337
91,"Me, Myself & I",G-Eazy,217132
92,"i hate u, i love u (feat. olivia o'brien)",gnash,216032
93,Too Many Years,Kodak Black,215772
94,Love On The Brain,Rihanna,215035
95,Change,J. Cole,214737
96,Don't,Bryson Tiller,213378
97,Water,Ugly God,210924
98,Rich Girl,Daryl Hall & John Oates,210173
99,Erase Your Social,Lil Uzi Vert,208263
100,Never Be Like You,Flume,207102
101,The Mack,Nevada,206028
102,Gold,Kiiara,205831
103,Exchange,Bryson Tiller,205357
104,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,205345
105,You Make My Dreams - Remastered,Daryl Hall & John Oates,204880
106,Die For You,The Weeknd,203645
107,Selfish,PnB Rock,201991
108,Weak,AJR,200498
109,Come and See Me (feat. Drake),PARTYNEXTDOOR,200095
110,Twist And Shout - Remastered 2009,The Beatles,198226
111,Make Me (Cry),Noah Cyrus,196528
112,No Flockin,Kodak Black,196193
113,Father Stretch My Hands Pt. 1,Kanye West,195965
114,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,fun.,194870
115,Respect,Aretha Franklin,194667
116,Litty (feat. Tory Lanez),Meek Mill,194516
117,Congratulations,Post Malone,192751
118,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,189619
119,Superstition - Single Version,Stevie Wonder,189573
120,Sorry,Justin Bieber,186703
121,Uber Everywhere,MadeinTYO,186602
122,Pop Style,Drake,184790
123,Sunset Lover,Petit Biscuit,184278
124,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,183966
125,You Can Call Me Al,Paul Simon,183669
126,Moves,Big Sean,183502
127,That's What I Like,Bruno Mars,183494
128,The Hills,The Weeknd,183262
129,Hotline Bling,Drake,183047
130,All Time Low,Jon Bellion,182716
131,Roses,The Chainsmokers,182217
132,Deja Vu,Post Malone,181649
133,Setting Fires,The Chainsmokers,181113
134,Don't Stop Me Now - Remastered,Queen,179775
135,You Shook Me All Night Long,AC/DC,178791
136,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,176547
137,Light,San Holo,176446
138,P.Y.T. (Pretty Young Thing),Michael Jackson,176354
139,Famous,Kanye West,176291
140,Brown Eyed Girl,Van Morrison,175044
141,Call Me Maybe,Carly Rae Jepsen,174945
142,Water Under the Bridge,Adele,174085
143,Tiimmy Turner,Desiigner,173977
144,My House,Flo Rida,173343
145,Say It (feat. Tove Lo),Flume,171093
146,Purple Lamborghini (with Rick Ross),Skrillex,171058
147,Secrets,The Weeknd,170453
148,7 Years,Lukas Graham,170245
149,My Girl,The Temptations,170168
150,Feel So Close - Radio Edit,Calvin Harris,169357
151,Antidote,Travis Scott,169297
152,True Colors,The Weeknd,168726
153,Gassed Up,Nebu Kiniza,167151
154,Capsize,FRENSHIP,166898
155,I Would Like,Zara Larsson,166846
156,PILLOWTALK,ZAYN,165974
157,Ni**as In Paris,JAY Z,165222
158,Lot to Learn,Luke Christopher,164741
159,No Type,Rae Sremmurd,164642
160,Wicked,Future,164503
161,Black Barbies,Nicki Minaj,163711
162,Cut It (feat. Young Dolph),O.T. Genasis,163667
163,What They Want,Russ,163498
164,Rockin’,The Weeknd,163129
165,LUV,Tory Lanez,162888
166,Hymn For The Weekend - Seeb Remix,Coldplay,161981
167,oui,Jeremih,160755
168,My Way,Calvin Harris,159846
169,My Shit,A Boogie Wit da Hoodie,159333
170,Still Here,Drake,158154
171,You & Me,Marc E. Bassy,157927
172,Should I Stay or Should I Go - Remastered,The Clash,157705
173,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,157253
174,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,155772
175,Stand By Me,Otis Redding,154347
176,Trap Queen,Fetty Wap,151754
177,Me and Julio Down by the Schoolyard,Paul Simon,151657
178,Party,Chris Brown,151474
179,Don't Worry Be Happy,Bobby McFerrin,151217
180,By Your Side,Jonas Blue,151106
181,I Got You,Bebe Rexha,151059
182,Timeless (DJ SPINKING),A Boogie Wit da Hoodie,150458
183,Lighthouse - Andrelli Remix,Hearts & Colors,149929
184,Middle,DJ Snake,149265
185,Really Really,Kevin Gates,149053
186,ABC,The Jackson 5,148305
187,Good Drank,2 Chainz,146863
188,Wyclef Jean,Young Thug,145905
189,(What A) Wonderful World - Remastered,Sam Cooke,145484
190,Living Single,Big Sean,144979
191,Let Me Explain,Bryson Tiller,144864
192,Go Flex,Post Malone,144845
193,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,144843
194,She's Mine Pt. 1,J. Cole,144501
195,False Alarm,The Weeknd,144393
196,Ignition - Remix,R. Kelly,144377
197,679 (feat. Remy Boyz),Fetty Wap,143877
198,I Don't Fuck With You,Big Sean,143847
199,You Can't Hurry Love - 2016 Remastered,Phil Collins,143813
200,For Free,DJ Khaled,143765
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1161746
2,Fake Love,Drake,1076575
3,Starboy,The Weeknd,963602
4,Closer,The Chainsmokers,782423
5,Black Beatles,Rae Sremmurd,733662
6,Caroline,Aminé,633586
7,Bounce Back,Big Sean,611276
8,Bad Things (with Camila Cabello),Machine Gun Kelly,611030
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,583678
10,I Feel It Coming,The Weeknd,565606
11,Broccoli (feat. Lil Yachty),DRAM,561076
12,Let Me Love You,DJ Snake,502681
13,One Dance,Drake,487243
14,Don't Wanna Know,Maroon 5,484706
15,24K Magic,Bruno Mars,475316
16,X (feat. Future),21 Savage,474705
17,Deja Vu,J. Cole,473234
18,Starving,Hailee Steinfeld,447433
19,Chill Bill,Rob $tone,444104
20,In the Name of Love,Martin Garrix,441973
21,Say You Won't Let Go,James Arthur,424490
22,Party Monster,The Weeknd,417288
23,No Heart,21 Savage,415453
24,Side To Side,Ariana Grande,402640
25,Heathens,Twenty One Pilots,388696
26,Sneakin’,Drake,379428
27,OOOUUU,Young M.A,374661
28,iSpy (feat. Lil Yachty),KYLE,368515
29,You Was Right,Lil Uzi Vert,366167
30,All We Know,The Chainsmokers,358902
31,Mercy,Shawn Mendes,354581
32,Scars To Your Beautiful,Alessia Cara,354408
33,"How Far I'll Go - From ""Moana""",Alessia Cara,339562
34,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,337218
35,Call On Me - Ryan Riback Extended Remix,Starley,336502
36,Love Me Now,John Legend,326511
37,Neighbors,J. Cole,323494
38,Controlla,Drake,313087
39,Cold Water (feat. Justin Bieber & MØ),Major Lazer,312401
40,Too Good,Drake,309703
41,pick up the phone,Young Thug,304264
42,Swang,Rae Sremmurd,302738
43,Don't Let Me Down,The Chainsmokers,299373
44,Six Feet Under,The Weeknd,297398
45,Treat You Better,Shawn Mendes,296263
46,Just Hold On,Steve Aoki,289650
47,Sidewalks,The Weeknd,288870
48,Needed Me,Rihanna,288253
49,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,276614
50,Redbone,Childish Gambino,268394
51,Immortal,J. Cole,268024
52,Panda,Desiigner,265985
53,Work from Home,Fifth Harmony,264828
54,All Time Low,Jon Bellion,261756
55,Some Kind Of Drug,G-Eazy,259668
56,Now and Later,Sage The Gemini,253619
57,Work,Rihanna,253312
58,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,248239
59,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,247000
60,All Night,The Vamps,238041
61,Make Me (Cry),Noah Cyrus,237695
62,Low Life,Future,236628
63,Ride,Twenty One Pilots,236196
64,No Role Modelz,J. Cole,234566
65,Cheap Thrills,Sia,234531
66,Chantaje,Shakira,234373
67,Weak,AJR,231009
68,Into You,Ariana Grande,230703
69,Reminder,The Weeknd,230432
70,Used to This,Future,230345
71,Jumpman,Drake,228720
72,Love On The Brain,Rihanna,228402
73,Money Longer,Lil Uzi Vert,227712
74,goosebumps,Travis Scott,225985
75,Change,J. Cole,225568
76,"i hate u, i love u (feat. olivia o'brien)",gnash,222224
77,This Is What You Came For,Calvin Harris,220369
78,Too Many Years,Kodak Black,218373
79,Die For You,The Weeknd,217742
80,Don't,Bryson Tiller,217560
81,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,216700
82,Sunset Lover,Petit Biscuit,216349
83,White Iverson,Post Malone,215011
84,Selfish,PnB Rock,214009
85,The Mack,Nevada,211299
86,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,211062
87,Exchange,Bryson Tiller,210005
88,Come and See Me (feat. Drake),PARTYNEXTDOOR,206890
89,Water,Ugly God,205455
90,Erase Your Social,Lil Uzi Vert,205308
91,One Night,Lil Yachty,204049
92,Never Be Like You,Flume,203477
93,Water Under the Bridge,Adele,202835
94,All Time Low,Jon Bellion,200663
95,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,199831
96,Stressed Out,Twenty One Pilots,199640
97,Too Much Sauce,DJ Esco,198702
98,Congratulations,Post Malone,197483
99,Setting Fires,The Chainsmokers,195895
100,Lot to Learn,Luke Christopher,193376
101,Light,San Holo,191857
102,"Me, Myself & I",G-Eazy,191756
103,Deja Vu,Post Malone,188263
104,Moves,Big Sean,186431
105,I Would Like,Zara Larsson,186293
106,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,185376
107,Both (feat. Drake),Gucci Mane,184948
108,No Flockin,Kodak Black,182641
109,True Colors,The Weeknd,179088
110,This Town,Niall Horan,177645
111,That's What I Like,Bruno Mars,177011
112,Lighthouse - Andrelli Remix,Hearts & Colors,175852
113,Secrets,The Weeknd,175094
114,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,174995
115,Love Yourself,Justin Bieber,174988
116,Litty (feat. Tory Lanez),Meek Mill,174961
117,Father Stretch My Hands Pt. 1,Kanye West,173049
118,I Got You,Bebe Rexha,172534
119,Shed a Light,Robin Schulz,169638
120,The Hills,The Weeknd,169241
121,Gold,Kiiara,169223
122,Pop Style,Drake,167473
123,Rockin’,The Weeknd,166475
124,Send My Love (To Your New Lover),Adele,165969
125,By Your Side,Jonas Blue,165550
126,Gassed Up,Nebu Kiniza,162267
127,Roses,The Chainsmokers,161799
128,Not Going Home,DVBBS,161772
129,She's Mine Pt. 1,J. Cole,160212
130,What They Want,Russ,158718
131,PILLOWTALK,ZAYN,157594
132,7 Years,Lukas Graham,156394
133,Somebody Else,VÉRITÉ,155816
134,Tiimmy Turner,Desiigner,155633
135,Living Single,Big Sean,155336
136,My Shit,A Boogie Wit da Hoodie,154843
137,For Whom The Bell Tolls,J. Cole,154773
138,Timeless (DJ SPINKING),A Boogie Wit da Hoodie,154339
139,4 Your Eyez Only,J. Cole,153965
140,Let Me Explain,Bryson Tiller,153509
141,Black Barbies,Nicki Minaj,153503
142,Ville Mentality,J. Cole,153407
143,Go Flex,Post Malone,152792
144,Uber Everywhere,MadeinTYO,151642
145,Sorry,Justin Bieber,151288
146,oui,Jeremih,149032
147,Capsize,FRENSHIP,148762
148,You & Me,Marc E. Bassy,148623
149,Famous,Kanye West,148460
150,Hotline Bling,Drake,147574
151,Still Here,Drake,146681
152,All I Know,The Weeknd,146651
153,How Far I'll Go,Auli'i Cravalho,145596
154,My Way,Calvin Harris,145509
155,Party,Chris Brown,144566
156,False Alarm,The Weeknd,143031
157,Hymn For The Weekend - Seeb Remix,Coldplay,142951
158,Solo Dance,Martin Jensen,142800
159,Cake By The Ocean,DNCE,140451
160,Wyclef Jean,Young Thug,139639
161,Baptized In Fire,Kid Cudi,139543
162,Foldin Clothes,J. Cole,139509
163,The Greatest,Sia,139404
164,Oh Lord,MiC LOWRY,138996
165,Blue Ain't Your Color,Keith Urban,138817
166,No Type,Rae Sremmurd,138678
167,Hear Me Now,Alok,138615
168,Ophelia,The Lumineers,137352
169,Attention,The Weeknd,137212
170,Dynamite (feat. Pretty Sister),Nause,137147
171,'Till I Collapse,Eminem,136956
172,Wake Up Where You Are,State of Sound,136842
173,Do What I Want,Lil Uzi Vert,135482
174,Lose Yourself - Soundtrack Version,Eminem,135457
175,Taped Up Heart (feat. Clara Mae),KREAM,135205
176,Say It (feat. Tove Lo),Flume,134618
177,LUV,Tory Lanez,134452
178,Good Drank,2 Chainz,134102
179,Unsteady,X Ambassadors,133579
180,Death Of A Bachelor,Panic! At The Disco,133481
181,Wet Dreamz,J. Cole,133068
182,Antidote,Travis Scott,132646
183,Ni**as In Paris,JAY Z,132366
184,Really Really,Kevin Gates,131878
185,Middle,DJ Snake,131204
186,Let It Go,James Bay,130903
187,Childs Play,Drake,130083
188,Juke Jam (feat. Justin Bieber & Towkio),Chance The Rapper,129450
189,Miss You,James Hersey,129272
190,Location,Khalid,129151
