date,title,artist,peakPos,lastPos,weeks,rank,change
2018-06-21,4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima,42,0,1,42,New,
2018-06-21,All Girls Are The Same,Juice WRLD,41,49,5,41,8,
2018-06-21,All Mine,Kanye West,11,11,2,31,-20,
2018-06-21,Alone,Halsey Featuring Big Sean & Stefflon Don,70,73,9,74,-1,
2018-06-21,Babe,Sugarland Featuring Taylor Swift,72,0,2,95,Re-Entry,
2018-06-21,Back To You,Selena Gomez,22,31,5,22,9,
2018-06-21,Ball For Me,Post Malone Featuring Nicki Minaj,16,63,7,59,4,
2018-06-21,Be Careful,Cardi B,11,25,11,23,2,
2018-06-21,Beautiful Crazy,Luke Combs,58,77,4,93,-16,
2018-06-21,Better Now,Post Malone,7,34,7,20,14,
2018-06-21,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",66,91,3,97,-6,
2018-06-21,Boo'd Up,Ella Mai,6,6,11,7,-1,
2018-06-21,Call Out My Name,The Weeknd,4,52,11,54,-2,
2018-06-21,Chun-Li,Nicki Minaj,10,46,10,43,3,
2018-06-21,Cudi Montage,KIDS SEE GHOSTS,69,0,1,69,New,
2018-06-21,Dame Tu Cosita,El Chombo Featuring Cutty Ranks,36,75,8,80,-5,
2018-06-21,Delicate,Taylor Swift,25,37,14,25,12,
2018-06-21,Done For Me,Charlie Puth Featuring Kehlani,53,61,6,55,6,
2018-06-21,Drip,Cardi B Featuring Migos,21,84,10,96,-12,
2018-06-21,Dura,Daddy Yankee,43,65,19,64,1,
2018-06-21,El Farsante,Ozuna & Romeo Santos,49,97,20,91,6,
2018-06-21,Esskeetit,Lil Pump,24,66,9,68,-2,
2018-06-21,Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,66,71,8,66,5,
2018-06-21,Fake Love,BTS,10,48,4,71,-23,
2018-06-21,Feel The Love,KIDS SEE GHOSTS,47,0,1,47,New,
2018-06-21,Fire,KIDS SEE GHOSTS,67,0,1,67,New,
2018-06-21,Freaky Friday,Lil Dicky Featuring Chris Brown,8,39,13,37,2,
2018-06-21,"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,62,0,1,62,New,
2018-06-21,Friends,Marshmello & Anne-Marie,11,14,18,13,1,
2018-06-21,Get Along,Kenny Chesney,48,56,10,48,8,
2018-06-21,Ghost Town,Kanye West Featuring PARTYNEXTDOOR,16,16,2,60,-44,
2018-06-21,Girls Like You,Maroon 5 Featuring Cardi B,4,4,3,5,-1,
2018-06-21,God's Plan,Drake,1,5,21,4,1,
2018-06-21,Havana,Camila Cabello Featuring Young Thug,1,33,44,27,6,
2018-06-21,Heaven,Kane Brown,15,30,25,26,4,
2018-06-21,I Know You,Lil Skies Featuring Yung Pinch,90,0,1,90,New,
2018-06-21,I Like It,"Cardi B, Bad Bunny & J Balvin",3,3,10,3,0,
2018-06-21,I Like Me Better,Lauv,46,53,18,46,7,
2018-06-21,I Lived It,Blake Shelton,64,76,15,76,0,
2018-06-21,I Was Jack (You Were Diane),Jake Owen,86,86,3,86,0,
2018-06-21,I'm Upset,Drake,19,32,3,28,4,
2018-06-21,IDGAF,Dua Lipa,49,54,22,51,3,
2018-06-21,In My Blood,Shawn Mendes,11,20,13,16,4,
2018-06-21,Japan,Famous Dex,28,68,12,72,-4,
2018-06-21,KIDS SEE GHOSTS,KIDS SEE GHOSTS,73,0,1,73,New,
2018-06-21,KOD,J. Cole,10,60,8,65,-5,
2018-06-21,Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,74,92,4,89,3,
2018-06-21,Look Alive,BlocBoy JB Featuring Drake,5,19,18,18,1,
2018-06-21,Lose It,Kane Brown,84,0,1,84,New,
2018-06-21,Love Lies,Khalid & Normani,34,42,17,34,8,
2018-06-21,Lovely,Billie Eilish & Khalid,78,79,3,78,1,
2018-06-21,Lucid Dreams,Juice WRLD,6,9,5,6,3,
2018-06-21,Me Niego,Reik Featuring Ozuna & Wisin,77,0,2,83,Re-Entry,
2018-06-21,Meant To Be,Bebe Rexha & Florida Georgia Line,2,12,34,10,2,
2018-06-21,Mercy,Brett Young,63,74,6,63,11,
2018-06-21,Mine,Bazzi,11,23,21,15,8,
2018-06-21,Never Be The Same,Camila Cabello,6,18,26,19,-1,
